exp,city,n,n_total,score,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort
DD-CC-Rn34-bos,vegas,4065,4065,0.5861060892058175,0.8346456692913385,0.8875492125984252,0.9795767716535433,0.9899114173228346,0.9470979137898459,0.8080708661417323,0.9399606299212598,0.4854822834645669,0.001968592778531163
DD-CC-Rn34-pit,all,12147,12147,0.5650560793359908,0.904865799440145,0.825292277292936,0.9615922937592623,0.9951424337230365,0.8698192288262105,0.89395685822493,0.9109995060102091,0.49942367857730935,0.003210989088840981
DD-CC-Rn34-pit,boston,3732,3732,0.5766898869809122,0.8859555079067274,0.854194585901903,0.9639506834628786,0.9916912355936747,0.8786689589724593,0.870008040739748,0.9346019833824711,0.5199678370410078,0.0026804269705406427
DD-CC-Rn34-pit,pittsburgh,2438,2438,0.5803677374383972,0.926343865408289,0.8506360279031595,0.9521953221173575,0.9954862535904802,0.8831129432133655,0.913007796471071,0.9097250718096019,0.44234714813295034,0.002462277837176953
DD-CC-Rn34-pit,singapore,1915,1915,0.41402141301680107,0.963166144200627,0.6165099268547545,0.9064785788923719,0.9973876698014629,0.7369183893282745,0.9535005224660398,0.7972831765935214,0.477533960292581,0.0026125523065648505
DD-CC-Rn34-pit,vegas,4065,4065,0.615409576589427,0.8829970472440946,0.8826279527559054,0.9896653543307086,0.9933562992125985,0.9158553354433894,0.8730314960629921,0.9421751968503936,0.5314960629921259,0.002952889167796745
DD-CC-Rn34-sin,boston,3732,3732,0.3791584559876732,0.7377378718842134,0.6979362101313321,0.9069954435808094,0.9807022246046636,0.8529480597549393,0.7169659608683999,0.8724202626641651,0.5545430179576522,0.0037525977587569005
DD-CC-Rn34-sin,pittsburgh,2438,2438,0.3412069723924655,0.8559704554780468,0.6040213377102995,0.7827246614690193,0.990151826015593,0.7955520672212775,0.8346327451784981,0.7295855560114896,0.5342634386540829,0.002051898197647461
DD-CC-Rn34-sin,singapore,1915,1915,0.542801718393664,0.9702194357366771,0.7763845350052246,0.9689132706374085,0.9979101358411704,0.7435130943699545,0.9582027168234065,0.8746081504702194,0.4942528735632184,0.0020900418452518806
DD-CC-Rn34-sin,vegas,4065,4065,0.4613256438758571,0.7584891732283465,0.7733759842519684,0.9276574803149605,0.9901574803149605,0.8918647811963049,0.7204724409448818,0.9060039370078741,0.5413385826771654,0.005167556043644303
DD-CC-Rn34-veg,boston,3732,3732,0.6743429888947698,0.9352720450281427,0.838917180380595,0.9668989547038328,0.9927633342267489,0.8563479114120635,0.9169123559367462,0.9319217367997855,0.9798981506298579,0.23882604307517127
DD-CC-Rn34-veg,pittsburgh,2438,2438,0.5533737738897024,0.9271645465736562,0.7496922445629873,0.8621255642183012,0.9954862535904802,0.83549518434682,0.9158801805498563,0.8264259335248256,0.9626590069757899,0.22324652390404373
DD-CC-Rn34-veg,singapore,1915,1915,0.49790541465273674,0.964994775339603,0.6410658307210031,0.9393939393939394,0.9968652037617555,0.6905726956649154,0.95141065830721,0.8056426332288401,0.9848484848484849,0.34119933123736945
DD-CC-Rn34-veg,vegas,4065,4065,0.8581179139729911,0.984744094488189,0.9771161417322836,1.0,0.9975393700787402,0.912893481764766,0.9790846456692914,0.9825295275590551,0.9908956692913385,0.26010032086343
